Item (prelim.),Shape,Pattern,Size_A,Size_B,Size_C,Size_D,Size_E,Size_F,Colour_A,Colour_B,Colour_C,Colour_D,Colour_E,Colour_F,Marked,Context,sentence_1,sentence_2,Condition,List (prelim.)
1,Ball,x,10,4,3,2,2,1,6,5,5,5,5,5,1,Conny erwähnt gegenüber Chris:,Ich mag den blauen Ball.,Ich mag den blauen großen Ball.,dap,1
2,Ball,x,8,4,3,3,4,2,6,6,6,6,6,6,1,Alex bestätigt gegenüber Conny:,Ich mag den blauen Ball.,Ich mag den großen blauen Ball.,dap,1
3,Ball,x,10,4,2,4,2,3,6,6,6,6,6,6,1,Dani meint gegenüber Maxi:,Ich mag den blauen Ball.,Ich mag den großen Ball.,dap,1
4,Ball,x,10,3,4,4,1,4,6,7,7,7,7,7,1,Chris sagt zu Dani:,Ich mag den großen Ball.,Ich mag den blauen Ball. ,dap,1
5,Ball,y,10,3,4,1,1,2,5,6,6,6,6,6,1,Dani sagt zu Chris:,Ich mag den orangenen Ball.,Ich mag den orangenen großen Ball.,dap,1
6,Ball,y,9,2,2,4,4,4,5,7,7,7,7,7,1,Maxi meint gegenüber Dani:,Ich mag den orangenen Ball.,Ich mag den großen orangenen Ball.,dap,1
7,Ball,y,10,5,2,1,2,3,5,6,6,6,6,6,1,Conny bestätigt gegenüber Alex:,Ich mag den orangenen Ball.,Ich mag den großen Ball.,dap,1
8,Ball,y,9,3,1,3,2,3,5,7,7,7,7,7,1,Chris erwähnt gegenüber Conny:,Ich mag den großen Ball.,Ich mag den orangenen Ball. ,dap,1
9,Haus,x,9,2,1,4,1,2,5,7,7,7,7,7,1,Maxi erwähnt gegenüber Dani:,Ich mag das orangene Haus.,Ich mag das orangene hohe Haus.,dap,1
10,Haus,x,10,2,1,4,2,3,5,8,8,8,8,8,1,Toni bestätigt gegenüber Alex:,Ich mag das orangene Haus.,Ich mag das hohe orangene Haus.,dap,1
11,Haus,x,9,1,4,2,4,1,5,5,5,5,5,5,1,Dani meint gegenüber Toni:,Ich mag das orangene Haus.,Ich mag das hohe Haus.,dap,1
12,Haus,x,9,1,3,4,4,1,5,5,5,5,5,5,1,Conny sagt zu Alex:,Ich mag das hohe Haus.,Ich mag das orangene Haus.,dap,1
13,Haus,y,8,3,4,2,4,4,7,8,8,8,8,8,1,Alex sagt zu Conny:,Ich mag das graue Haus.,Ich mag das graue hohe Haus.,dap,1
14,Haus,y,8,2,3,2,1,2,7,8,8,8,8,8,1,Toni meint gegenüber Dani:,Ich mag das graue Haus.,Ich mag das hohe graue Haus.,dap,1
15,Haus,y,8,1,4,2,3,2,7,5,5,5,5,5,1,Alex bestätigt gegenüber Toni:,Ich mag das graue Haus.,Ich mag das hohe Haus.,dap,1
16,Haus,y,8,4,2,2,1,2,7,6,6,6,6,6,1,Dani erwähnt gegenüber Maxi:,Ich mag das hohe Haus.,Ich mag das graue Haus.,dap,1
17,Linie,x,9,4,2,3,1,4,8,8,8,8,8,8,1,Alex erwähnt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die schwarze lange Linie.,dap,1
18,Linie,x,8,1,3,2,4,2,8,7,7,7,7,7,1,Chris bestätigt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die lange schwarze Linie.,dap,1
19,Linie,x,8,2,3,3,2,3,8,8,8,8,8,8,1,Max meint gegenüber Chris:,Ich mag die schwarze Linie.,Ich mag die lange Linie.,dap,1
20,Linie,x,8,2,4,3,4,3,8,6,6,6,6,6,1,Toni sagt zu Conny:,Ich mag die lange Linie.,Ich mag die schwarze Linie.,dap,1
21,Linie,y,9,4,1,3,3,2,6,5,5,5,5,5,1,Conny sagt zu Toni:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,1
22,Linie,y,10,1,4,3,4,4,6,7,7,7,7,7,1,Chris meint gegenüber Maxi:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,1
23,Linie,y,8,2,3,4,3,2,6,8,8,8,8,8,1,Maxi bestätigt gegenüber Chris:,Ich mag die blaue Linie.,Ich mag die lange Linie.,dap,1
24,Linie,y,10,2,1,1,2,4,6,5,5,5,5,5,1,Maxi erwähnt gegenüber Alex:,Ich mag die lange Linie.,Ich mag die blaue Linie.,dap,1
1,Ball,x,10,4,3,2,2,1,6,5,5,5,5,5,1,Conny erwähnt gegenüber Chris:,Ich mag den blauen Ball.,Ich mag den blauen großen Ball.,dap,2
2,Ball,x,8,4,3,3,4,2,6,6,6,6,6,6,1,Alex bestätigt gegenüber Conny:,Ich mag den blauen Ball.,Ich mag den großen blauen Ball.,dap,2
3,Ball,x,10,4,2,4,2,3,6,6,6,6,6,6,1,Dani meint gegenüber Maxi:,Ich mag den blauen Ball.,Ich mag den großen Ball.,dap,2
4,Ball,x,10,3,4,4,1,4,6,7,7,7,7,7,1,Chris sagt zu Dani:,Ich mag den großen Ball.,Ich mag den blauen Ball. ,dap,2
5,Ball,y,10,3,4,1,1,2,5,6,6,6,6,6,1,Dani sagt zu Chris:,Ich mag den orangenen Ball.,Ich mag den orangenen großen Ball.,dap,2
6,Ball,y,9,2,2,4,4,4,5,7,7,7,7,7,1,Maxi meint gegenüber Dani:,Ich mag den orangenen Ball.,Ich mag den großen orangenen Ball.,dap,2
7,Ball,y,10,5,2,1,2,3,5,6,6,6,6,6,1,Conny bestätigt gegenüber Alex:,Ich mag den orangenen Ball.,Ich mag den großen Ball.,dap,2
8,Ball,y,9,3,1,3,2,3,5,7,7,7,7,7,1,Chris erwähnt gegenüber Conny:,Ich mag den großen Ball.,Ich mag den orangenen Ball. ,dap,2
9,Haus,x,9,2,1,4,1,2,5,7,7,7,7,7,1,Maxi erwähnt gegenüber Dani:,Ich mag das orangene Haus.,Ich mag das orangene hohe Haus.,dap,2
10,Haus,x,10,2,1,4,2,3,5,8,8,8,8,8,1,Toni bestätigt gegenüber Alex:,Ich mag das orangene Haus.,Ich mag das hohe orangene Haus.,dap,2
11,Haus,x,9,1,4,2,4,1,5,5,5,5,5,5,1,Dani meint gegenüber Toni:,Ich mag das orangene Haus.,Ich mag das hohe Haus.,dap,2
12,Haus,x,9,1,3,4,4,1,5,5,5,5,5,5,1,Conny sagt zu Alex:,Ich mag das hohe Haus.,Ich mag das orangene Haus.,dap,2
13,Haus,y,8,3,4,2,4,4,7,8,8,8,8,8,1,Alex sagt zu Conny:,Ich mag das graue Haus.,Ich mag das graue hohe Haus.,dap,2
14,Haus,y,8,2,3,2,1,2,7,8,8,8,8,8,1,Toni meint gegenüber Dani:,Ich mag das graue Haus.,Ich mag das hohe graue Haus.,dap,2
15,Haus,y,8,1,4,2,3,2,7,5,5,5,5,5,1,Alex bestätigt gegenüber Toni:,Ich mag das graue Haus.,Ich mag das hohe Haus.,dap,2
16,Haus,y,8,4,2,2,1,2,7,6,6,6,6,6,1,Dani erwähnt gegenüber Maxi:,Ich mag das hohe Haus.,Ich mag das graue Haus.,dap,2
17,Linie,x,9,4,2,3,1,4,8,8,8,8,8,8,1,Alex erwähnt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die schwarze lange Linie.,dap,2
18,Linie,x,8,1,3,2,4,2,8,7,7,7,7,7,1,Chris bestätigt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die lange schwarze Linie.,dap,2
19,Linie,x,8,2,3,3,2,3,8,8,8,8,8,8,1,Max meint gegenüber Chris:,Ich mag die schwarze Linie.,Ich mag die lange Linie.,dap,2
20,Linie,x,8,2,4,3,4,3,8,6,6,6,6,6,1,Toni sagt zu Conny:,Ich mag die lange Linie.,Ich mag die schwarze Linie.,dap,2
21,Linie,y,9,4,1,3,3,2,6,5,5,5,5,5,1,Conny sagt zu Toni:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,2
22,Linie,y,10,1,4,3,4,4,6,7,7,7,7,7,1,Chris meint gegenüber Maxi:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,2
23,Linie,y,8,2,3,4,3,2,6,8,8,8,8,8,1,Maxi bestätigt gegenüber Chris:,Ich mag die blaue Linie.,Ich mag die lange Linie.,dap,2
24,Linie,y,10,2,1,1,2,4,6,5,5,5,5,5,1,Maxi erwähnt gegenüber Alex:,Ich mag die lange Linie.,Ich mag die blaue Linie.,dap,2
1,Ball,x,10,4,3,2,2,1,6,5,5,5,5,5,1,Conny erwähnt gegenüber Chris:,Ich mag den blauen Ball.,Ich mag den blauen großen Ball.,dap,3
2,Ball,x,8,4,3,3,4,2,6,6,6,6,6,6,1,Alex bestätigt gegenüber Conny:,Ich mag den blauen Ball.,Ich mag den großen blauen Ball.,dap,3
3,Ball,x,10,4,2,4,2,3,6,6,6,6,6,6,1,Dani meint gegenüber Maxi:,Ich mag den blauen Ball.,Ich mag den großen Ball.,dap,3
4,Ball,x,10,3,4,4,1,4,6,7,7,7,7,7,1,Chris sagt zu Dani:,Ich mag den großen Ball.,Ich mag den blauen Ball. ,dap,3
5,Ball,y,10,3,4,1,1,2,5,6,6,6,6,6,1,Dani sagt zu Chris:,Ich mag den orangenen Ball.,Ich mag den orangenen großen Ball.,dap,3
6,Ball,y,9,2,2,4,4,4,5,7,7,7,7,7,1,Maxi meint gegenüber Dani:,Ich mag den orangenen Ball.,Ich mag den großen orangenen Ball.,dap,3
7,Ball,y,10,5,2,1,2,3,5,6,6,6,6,6,1,Conny bestätigt gegenüber Alex:,Ich mag den orangenen Ball.,Ich mag den großen Ball.,dap,3
8,Ball,y,9,3,1,3,2,3,5,7,7,7,7,7,1,Chris erwähnt gegenüber Conny:,Ich mag den großen Ball.,Ich mag den orangenen Ball. ,dap,3
9,Haus,x,9,2,1,4,1,2,5,7,7,7,7,7,1,Maxi erwähnt gegenüber Dani:,Ich mag das orangene Haus.,Ich mag das orangene hohe Haus.,dap,3
10,Haus,x,10,2,1,4,2,3,5,8,8,8,8,8,1,Toni bestätigt gegenüber Alex:,Ich mag das orangene Haus.,Ich mag das hohe orangene Haus.,dap,3
11,Haus,x,9,1,4,2,4,1,5,5,5,5,5,5,1,Dani meint gegenüber Toni:,Ich mag das orangene Haus.,Ich mag das hohe Haus.,dap,3
12,Haus,x,9,1,3,4,4,1,5,5,5,5,5,5,1,Conny sagt zu Alex:,Ich mag das hohe Haus.,Ich mag das orangene Haus.,dap,3
13,Haus,y,8,3,4,2,4,4,7,8,8,8,8,8,1,Alex sagt zu Conny:,Ich mag das graue Haus.,Ich mag das graue hohe Haus.,dap,3
14,Haus,y,8,2,3,2,1,2,7,8,8,8,8,8,1,Toni meint gegenüber Dani:,Ich mag das graue Haus.,Ich mag das hohe graue Haus.,dap,3
15,Haus,y,8,1,4,2,3,2,7,5,5,5,5,5,1,Alex bestätigt gegenüber Toni:,Ich mag das graue Haus.,Ich mag das hohe Haus.,dap,3
16,Haus,y,8,4,2,2,1,2,7,6,6,6,6,6,1,Dani erwähnt gegenüber Maxi:,Ich mag das hohe Haus.,Ich mag das graue Haus.,dap,3
17,Linie,x,9,4,2,3,1,4,8,8,8,8,8,8,1,Alex erwähnt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die schwarze lange Linie.,dap,3
18,Linie,x,8,1,3,2,4,2,8,7,7,7,7,7,1,Chris bestätigt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die lange schwarze Linie.,dap,3
19,Linie,x,8,2,3,3,2,3,8,8,8,8,8,8,1,Max meint gegenüber Chris:,Ich mag die schwarze Linie.,Ich mag die lange Linie.,dap,3
20,Linie,x,8,2,4,3,4,3,8,6,6,6,6,6,1,Toni sagt zu Conny:,Ich mag die lange Linie.,Ich mag die schwarze Linie.,dap,3
21,Linie,y,9,4,1,3,3,2,6,5,5,5,5,5,1,Conny sagt zu Toni:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,3
22,Linie,y,10,1,4,3,4,4,6,7,7,7,7,7,1,Chris meint gegenüber Maxi:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,3
23,Linie,y,8,2,3,4,3,2,6,8,8,8,8,8,1,Maxi bestätigt gegenüber Chris:,Ich mag die blaue Linie.,Ich mag die lange Linie.,dap,3
24,Linie,y,10,2,1,1,2,4,6,5,5,5,5,5,1,Maxi erwähnt gegenüber Alex:,Ich mag die lange Linie.,Ich mag die blaue Linie.,dap,3
1,Ball,x,10,4,3,2,2,1,6,5,5,5,5,5,1,Conny erwähnt gegenüber Chris:,Ich mag den blauen Ball.,Ich mag den blauen großen Ball.,dap,4
2,Ball,x,8,4,3,3,4,2,6,6,6,6,6,6,1,Alex bestätigt gegenüber Conny:,Ich mag den blauen Ball.,Ich mag den großen blauen Ball.,dap,4
3,Ball,x,10,4,2,4,2,3,6,6,6,6,6,6,1,Dani meint gegenüber Maxi:,Ich mag den blauen Ball.,Ich mag den großen Ball.,dap,4
4,Ball,x,10,3,4,4,1,4,6,7,7,7,7,7,1,Chris sagt zu Dani:,Ich mag den großen Ball.,Ich mag den blauen Ball. ,dap,4
5,Ball,y,10,3,4,1,1,2,5,6,6,6,6,6,1,Dani sagt zu Chris:,Ich mag den orangenen Ball.,Ich mag den orangenen großen Ball.,dap,4
6,Ball,y,9,2,2,4,4,4,5,7,7,7,7,7,1,Maxi meint gegenüber Dani:,Ich mag den orangenen Ball.,Ich mag den großen orangenen Ball.,dap,4
7,Ball,y,10,5,2,1,2,3,5,6,6,6,6,6,1,Conny bestätigt gegenüber Alex:,Ich mag den orangenen Ball.,Ich mag den großen Ball.,dap,4
8,Ball,y,9,3,1,3,2,3,5,7,7,7,7,7,1,Chris erwähnt gegenüber Conny:,Ich mag den großen Ball.,Ich mag den orangenen Ball. ,dap,4
9,Haus,x,9,2,1,4,1,2,5,7,7,7,7,7,1,Maxi erwähnt gegenüber Dani:,Ich mag das orangene Haus.,Ich mag das orangene hohe Haus.,dap,4
10,Haus,x,10,2,1,4,2,3,5,8,8,8,8,8,1,Toni bestätigt gegenüber Alex:,Ich mag das orangene Haus.,Ich mag das hohe orangene Haus.,dap,4
11,Haus,x,9,1,4,2,4,1,5,5,5,5,5,5,1,Dani meint gegenüber Toni:,Ich mag das orangene Haus.,Ich mag das hohe Haus.,dap,4
12,Haus,x,9,1,3,4,4,1,5,5,5,5,5,5,1,Conny sagt zu Alex:,Ich mag das hohe Haus.,Ich mag das orangene Haus.,dap,4
13,Haus,y,8,3,4,2,4,4,7,8,8,8,8,8,1,Alex sagt zu Conny:,Ich mag das graue Haus.,Ich mag das graue hohe Haus.,dap,4
14,Haus,y,8,2,3,2,1,2,7,8,8,8,8,8,1,Toni meint gegenüber Dani:,Ich mag das graue Haus.,Ich mag das hohe graue Haus.,dap,4
15,Haus,y,8,1,4,2,3,2,7,5,5,5,5,5,1,Alex bestätigt gegenüber Toni:,Ich mag das graue Haus.,Ich mag das hohe Haus.,dap,4
16,Haus,y,8,4,2,2,1,2,7,6,6,6,6,6,1,Dani erwähnt gegenüber Maxi:,Ich mag das hohe Haus.,Ich mag das graue Haus.,dap,4
17,Linie,x,9,4,2,3,1,4,8,8,8,8,8,8,1,Alex erwähnt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die schwarze lange Linie.,dap,4
18,Linie,x,8,1,3,2,4,2,8,7,7,7,7,7,1,Chris bestätigt gegenüber Maxi:,Ich mag die schwarze Linie.,Ich mag die lange schwarze Linie.,dap,4
19,Linie,x,8,2,3,3,2,3,8,8,8,8,8,8,1,Max meint gegenüber Chris:,Ich mag die schwarze Linie.,Ich mag die lange Linie.,dap,4
20,Linie,x,8,2,4,3,4,3,8,6,6,6,6,6,1,Toni sagt zu Conny:,Ich mag die lange Linie.,Ich mag die schwarze Linie.,dap,4
21,Linie,y,9,4,1,3,3,2,6,5,5,5,5,5,1,Conny sagt zu Toni:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,4
22,Linie,y,10,1,4,3,4,4,6,7,7,7,7,7,1,Chris meint gegenüber Maxi:,Ich mag die blaue Linie.,Ich mag die blaue lange Linie.,dap,4
23,Linie,y,8,2,3,4,3,2,6,8,8,8,8,8,1,Maxi bestätigt gegenüber Chris:,Ich mag die blaue Linie.,Ich mag die lange Linie.,dap,4
24,Linie,y,10,2,1,1,2,4,6,5,5,5,5,5,1,Maxi erwähnt gegenüber Alex:,Ich mag die lange Linie.,Ich mag die blaue Linie.,dap,4
25,Ball,x,10,2,2,3,3,2,5,5,8,8,8,5,1,Dani bestätigt gegenüber Chris:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,grosse_scharf,1
26,Ball,x,10,2,2,1,2,2,8,8,7,7,7,8,1,Toni bestätigt gegenüber Conny:,Ich mag den großen schwarzen Ball.,Ich mag den schwarzen großen Ball. ,grosse_scharf,2
27,Ball,x,9,1,2,1,1,3,6,6,6,5,5,5,1,Chris bestätigt gegenüber Conny:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,grosse_scharf,3
28,Ball,x,10,1,3,1,1,3,7,6,6,6,7,7,1,Alex bestätigt gegenüber Toni:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_scharf,4
29,Ball,x,10,1,2,2,2,2,7,8,8,8,7,7,1,Dani bestätigt gegenüber Conny:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_scharf,2
30,Ball,x,9,1,2,3,1,1,5,5,5,7,7,7,1,Alex bestätigt gegenüber Conny:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,grosse_scharf,3
31,Ball,y,9,2,3,3,1,3,5,6,6,5,6,5,1,Dani bestätigt gegenüber Chris:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,grosse_scharf,4
32,Ball,y,9,1,1,3,3,1,8,8,6,6,6,8,1,Toni bestätigt gegenüber Conny:,Ich mag den großen schwarzen Ball.,Ich mag den schwarzen großen Ball. ,grosse_scharf,1
33,Ball,y,9,2,1,2,1,3,6,7,7,6,7,6,1,Chris bestätigt gegenüber Conny:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,grosse_scharf,3
34,Ball,y,9,2,3,1,2,3,7,7,8,8,7,8,1,Alex bestätigt gegenüber Toni:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_scharf,4
35,Ball,y,10,3,3,3,3,1,7,5,5,5,7,7,1,Dani bestätigt gegenüber Conny:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_scharf,1
36,Ball,y,10,2,2,3,1,3,5,5,5,6,6,6,1,Alex bestätigt gegenüber Conny:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,grosse_scharf,2
37,Haus,x,10,1,1,2,2,2,7,7,7,8,8,8,1,Chris bestätigt gegenüber Dani:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_scharf,4
38,Haus,x,10,2,3,3,3,3,6,6,6,7,7,7,1,Alex bestätigt gegenüber Maxi:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_scharf,1
39,Haus,x,10,3,1,2,1,1,7,7,7,5,5,5,1,Conny bestätigt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_scharf,2
40,Haus,x,10,1,2,1,1,2,8,7,7,7,8,8,1,Conny bestätigt gegenüber Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,grosse_scharf,3
41,Haus,x,10,1,1,2,2,3,6,6,5,5,5,6,1,Dani bestätigt gegenüber Conny:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_scharf,1
42,Haus,x,9,2,2,3,3,3,7,7,7,8,8,8,1,Toni bestätigt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_scharf,2
43,Haus,y,10,3,3,2,2,3,7,7,6,6,6,7,1,Chris bestätigt gegenüber Dani:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_scharf,3
44,Haus,y,9,1,3,2,1,2,6,6,7,7,7,6,1,Alex bestätigt gegenüber Maxi:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_scharf,4
45,Haus,y,9,2,3,3,2,2,7,7,7,5,5,5,1,Conny bestätigt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_scharf,2
46,Haus,y,10,3,3,1,3,1,8,8,8,7,7,8,1,Conny bestätigt gegenüber Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,grosse_scharf,3
47,Haus,y,9,3,2,3,2,2,6,6,5,5,5,6,1,Dani bestätigt gegenüber Conny:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_scharf,4
48,Haus,y,9,2,1,1,1,2,7,8,7,8,8,7,1,Toni bestätigt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_scharf,1
49,Linie,x,10,2,3,1,3,1,6,7,6,7,6,7,1,Conny bestätigt gegenüber Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_scharf,3
50,Linie,x,9,3,1,1,2,3,8,5,5,5,8,8,1,Maxi bestätigt gegenüber Alex:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,grosse_scharf,4
51,Linie,x,10,2,1,3,2,3,7,7,8,7,8,8,1,Toni bestätigt gegenüber Alex:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,grosse_scharf,1
52,Linie,x,9,3,1,1,3,1,5,5,6,5,6,6,1,Dani bestätigt gegenüber Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,grosse_scharf,2
53,Linie,x,10,2,1,2,1,2,5,5,5,8,8,8,1,Chris bestätigt gegenüber Alex:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,grosse_scharf,4
54,Linie,x,10,1,1,2,3,1,6,6,6,8,8,8,1,Conny bestätigt gegenüber Chris:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_scharf,1
55,Linie,y,9,1,1,1,3,1,6,6,6,7,7,7,1,Conny bestätigt gegenüber Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_scharf,2
